po_number,requisition,internal_id,supplier,title,pr_status,po_status,amount,currency,po_pdf,po_pdf_captured,attachment_count,attachments
9100306196,PR731296,EP527026,TECHNICAIR SINGAPORE SERVICES PTE.,BSC relocate,Received,Received,,,9100306196.pdf,yes,1,9100306196_quote_TASSG090626-03 NTU.pdf
9100306374,PR731572,EP527248,Twist Bioscience Corporation,Twist gblock poly A,Received,Received,,,9100306374.pdf,yes,1,9100306374_quote_Q-672884.pdf
9100306395,PR731611,EP527275,NEW ENGLAND BIOLABS PTE LTD,Monarch buy 2 free 1 event,Received,Received,,,9100306395.pdf,yes,1,9100306395_quote_SQ-50021182.pdf
9100306410,PR731667,EP527309,Twist Bioscience Corporation,Twist gblock Dr Chen Gao Bin,Received,Received,,,9100306410.pdf,yes,1,9100306410_quote_Q-672884.pdf
9100306910,PR728840,EP527985,Life Technologies Holdings Pte Ltd,qPCR Plates,Received,Received,,,9100306910.pdf,yes,0,
9100306950,PR732633,EP528034,Life Technologies Holdings Pte Ltd,SOC recovery medium,Received,Received,,,9100306950.pdf,yes,0,
9100307199,PR733084,EP528342,Sigma-Aldrich Pte Ltd,KODone PCR master mix,Received,Received,,,9100307199.pdf,yes,0,
9100307586,PR733706,EP528860,DEVELOPMENTAL STUDIES HYBRIDOMA BANK,EN1 Antibody,Received,Received,,,9100307586.pdf,yes,1,9100307586_quote_Estimate 11220.pdf
9100307686,PR733779,EP528979,INTEGRATED DNA TECHNOLOGIES,PAX6_3HA_F7_splitALFA_polyA,Received,Received,,,9100307686.pdf,yes,0,
9100307845,PR734014,EP529190,STEM CELL SOCIETY SINGAPORE,mTeSR,Canceling,Ordered,,,9100307845.pdf,yes,1,9100307845_quote_Q-676756.pdf
9100307859,PR734124,EP529208,INTEGRATED DNA TECHNOLOGIES,TelN extended primers,Received,Received,,,9100307859.pdf,yes,0,
9100307955,PR734259,EP529322,Life Technologies Holdings Pte Ltd,TGFb3  FGF8b,Receiving,Receiving,,,9100307955.pdf,yes,0,
9100307956,PR734252,EP529323,KYBERLIFE PTE LTD,zymo RNA miniprep kit,Received,Received,,,9100307956.pdf,yes,0,
9100308169,PR734484,EP529584,SPD SCIENTIFIC PTE LTD,ZYMOPURE PLASMID  MAXIPREP (10 PREPS) RT,Received,Received,,,9100308169.pdf,yes,1,9100308169_quote_Q126300419 R1 - BE1S_SALES QUOTATION-20260623-084220.pdf
9100308170,PR734618,EP529585,SCIENCEWERKE PTE LTD,Mirus,Received,Received,,,9100308170.pdf,yes,1,9100308170_quote_SW26-0625.pdf
9100308256,PR734776,EP529700,INTEGRATED DNA TECHNOLOGIES,Oligo Plate GaoBin,Received,Received,,,9100308256.pdf,yes,3,9100308256_quote_Discount Statement 160581.pdf; 9100308256_quote_QTE-835476_Rev2.pdf; 9100308256_quote_example_plate-file-upload GB20260618.xls
9100308257,PR734774,EP529701,INTEGRATED DNA TECHNOLOGIES,GaoBin Oligo,Ordered,Ordered,,,9100308257.pdf,yes,0,
9100308598,PR734867,EP530117,ABCAM SINGAPORE PTE. LTD.,FOXG1-100ul,Received,Received,,,9100308598.pdf,yes,0,
9100308689,PR735283,EP530229,INTEGRATED DNA TECHNOLOGIES,Pansio RNA based Hairpin GCAA,Received,Received,,,9100308689.pdf,yes,0,
9100309150,PR735762,EP530823,INTEGRATED DNA TECHNOLOGIES,TKR PCR primers,Ordered,Ordered,,,9100309150.pdf,yes,0,
9100309165,PR736099,EP530843,Twist Bioscience Corporation,twist cre sequence,Received,Received,,,9100309165.pdf,yes,1,9100309165_quote_Q-682093.pdf
9100310655,PR734591,EP532783,SINGLAB TECHNOLOGIES PTE LTD,ALDH1A1 antibody,Received,Received,,,9100310655.pdf,yes,1,9100310655_quote_Q66613-Aidan Mcmorrow.pdf
9100310656,PR738581,EP532784,NEW ENGLAND BIOLABS PTE LTD,PaqC1,Received,Received,,,9100310656.pdf,yes,1,9100310656_quote_SQ-50021551.pdf
9100311270,PR738442,EP533574,INTEGRATED DNA TECHNOLOGIES,sgRNAs for gene tagging,Received,Received,,,9100311270.pdf,yes,0,
9100311280,PR739626,EP533584,INTEGRATED DNA TECHNOLOGIES,nNFIX-new-primers-Gibson,Received,Received,,,9100311280.pdf,yes,0,
9100311302,PR739666,EP533613,Life Technologies Holdings Pte Ltd,SYBR,Received,Received,,,9100311302.pdf,yes,0,
9100311303,PR739650,EP533614,CELESTIAL SPHERE TRADING PTE LTD,TH Antibody,Received,Received,,,9100311303.pdf,yes,1,9100311303_quote_Q26070802.pdf
9100311597,PR740117,EP534011,Sigma-Aldrich Pte Ltd,Costar Centrifuge Filters,Received,Received,,,9100311597.pdf,yes,0,
9100311598,PR740111,EP534012,ABCAM SINGAPORE PTE. LTD.,SOX6 Antibody,Received,Received,,,9100311598.pdf,yes,0,
9100311875,PR737312,EP534359,STEMCELL TECHNOLOGIES SINGAPORE,mTeSR,Received,Received,,,9100311875.pdf,yes,1,9100311875_quote_Q-676756  _1.pdf
9100311882,PR740611,EP534371,PROBIOSCIENCE TECHNOLOGIES,MCE small molecules,Received,Received,,,9100311882.pdf,yes,1,9100311882_quote_PBQ-212060_V1_ProbioscienceQuote.pdf
9100311942,PR740647,EP534442,Life Technologies Holdings Pte Ltd,accutase,Received,Received,,,9100311942.pdf,yes,0,
9100311968,PR740728,EP534473,Sigma-Aldrich Pte Ltd,Electroporation Cuvettes 4mm,Received,Received,,,9100311968.pdf,yes,0,
9100312095,PR735620,EP534632,INTEGRATED DNA TECHNOLOGIES,Cas nuclease,Received,Received,,,9100312095.pdf,yes,0,
9100312818,PR741876,EP535588,Plasmidsaurus Inc.,plasmidsaurus,Received,Received,,,9100312818.pdf,yes,1,9100312818_quote_Plasmidsaurus_Quote_26N22-035120.pdf
9100313199,PR742574,EP536052,SPECTRATECH PTE. LTD.,Replacement of Existing CKX Lamp Socket,Received,Received,,,9100313199.pdf,yes,1,9100313199_quote_ST-Q20074225 NTU SBS_Microscope_bulb.pdf
9100313229,PR742656,EP536096,INTEGRATED DNA TECHNOLOGIES,Primer_Richard,Received,Received,,,9100313229.pdf,yes,0,
9100313332,PR742813,EP536236,Life Technologies Holdings Pte Ltd,Opti-Mem Phenol Free,Received,Received,,,9100313332.pdf,yes,0,
9100313444,PR742979,EP536383,Addgene Inc.,addgene plasmid,Received,Received,,,9100313444.pdf,yes,0,
9100313657,PR741631,EP536715,NEW ENGLAND BIOLABS PTE LTD,Monarch order,Received,Received,,,9100313657.pdf,yes,1,9100313657_quote_SQ-50021757.pdf
9100313748,PR743457,EP536853,Life Technologies Holdings Pte Ltd,N2 supplement,Received,Received,,,9100313748.pdf,yes,0,
9100313821,PR743598,EP536938,Sigma-Aldrich Pte Ltd,KOD ONE,Received,Received,,,9100313821.pdf,yes,0,
9100313886,PR742929,EP537018,INTEGRATED DNA TECHNOLOGIES,Primers_DoggyBone_PCR,Received,Received,,,9100313886.pdf,yes,0,
9100313917,PR743713,EP537057,INTEGRATED DNA TECHNOLOGIES,Hairpin C for EcoRI and BamHI,Received,Received,,,9100313917.pdf,yes,0,
9100314602,PR743868,EP538076,MILTENYI BIOTEC ASIA PACIFIC,SHH,Received,Received,,,9100314602.pdf,yes,1,9100314602_quote_Quotation_0070396883_Aidan_NTU.pdf
9100314859,PR745204,EP538421,SCIENCEWERKE PTE LTD,MIRUS TRANSIT LT,Received,Received,,,9100314859.pdf,yes,1,9100314859_quote_SW26-0755.pdf
9100314866,PR745246,EP538428,TTM SCIENTIFIC SUPPLY PTE LTD,Bulk taobao order,Ordered,Shipped,,,9100314866.pdf,yes,1,9100314866_quote_TTM Quotation-20260803-Lab Consumable.pdf
9100315280,PR745824,EP538954,SARTORIUS STEDIM SINGAPORE PTE.,PEIpro,Received,Received,,,9100315280.pdf,yes,1,9100315280_quote_peipro.pdf
9100315629,PR745665,EP539469,Life Technologies Holdings Pte Ltd,Novex 6% TBE Gel,Ordered,Ordered,,,9100315629.pdf,yes,0,
9100315630,PR745601,EP539470,KYBERLIFE PTE LTD,Magnetic beads for DNA purification - 50ML,Received,Received,,,9100315630.pdf,yes,0,
9100315631,PR745978,EP539471,NEW ENGLAND BIOLABS PTE LTD,DNA ligase + BamHI + Esp3I,Received,Received,,,9100315631.pdf,yes,2,9100315631_quote_BamH1 n Esp3I.pdf; 9100315631_quote_T4 dna ligase.pdf
9100315635,PR745651,EP539475,INTEGRATED DNA TECHNOLOGIES,HPA for BamH1 and EcoR1 (GB),Received,Received,,,9100315635.pdf,yes,0,
9100315636,PR746420,EP539481,Sigma-Aldrich Pte Ltd,Low-Bind Tubes,Ordered,Ordered,,,9100315636.pdf,yes,0,
9100315754,PR746423,EP539660,Life Technologies Holdings Pte Ltd,Qubit Reagents,Ordered,Ordered,,,9100315754.pdf,yes,0,
9100315789,PR745041,EP539701,INTEGRATED DNA TECHNOLOGIES,Genotyping primers,Ordered,Ordered,,,9100315789.pdf,yes,0,
9100315916,PR745736,EP539870,STEMCELL TECHNOLOGIES SINGAPORE,cloner2,Received,Received,,,9100315916.pdf,yes,1,9100315916_quote_Q-702696.pdf
9100316298,PR747502,EP540352,INTEGRATED DNA TECHNOLOGIES,Cas nuclease 500ug,Ordered,Ordered,,,9100316298.pdf,yes,0,
9100316319,PR747519,EP540374,NEW ENGLAND BIOLABS PTE LTD,Monarch DNA Gel Extraction x PCR cleanup (Buy 2 free 1),Ordered,Ordered,,,9100316319.pdf,yes,1,9100316319_quote_SQ-50022022.pdf
9100316336,PR746982,EP540393,Addgene Inc.,Addgene_13/Aug,Received,Received,,,9100316336.pdf,yes,0,
9100316789,PR748184,EP541046,SPD SCIENTIFIC PTE LTD,DNA/RNA Shield,Ordered,Ordered,,,9100316789.pdf,yes,0,
9100317433,PR748998,EP541936,Life Technologies Holdings Pte Ltd,bulk order thermo,Ordered,Ordered,,,9100317433.pdf,yes,1,9100317433_quote_D6349034_Consumable_NTU SBS_Xueting.pdf
9100317655,PR749405,EP542235,INTEGRATED DNA TECHNOLOGIES,sgRNA GAPDH,Ordered,Ordered,,,9100317655.pdf,yes,0,
9100317797,PR749892,EP542485,INTEGRATED DNA TECHNOLOGIES,barcode_IDT,Ordered,Ordered,,,9100317797.pdf,yes,0,
9100317864,PR749323,EP542580,VIVACELL CULTURE PTE LTD,Laminin-111,Ordered,Ordered,,,9100317864.pdf,yes,0,
9100317971,PR750249,EP542707,MIRXES PTE. LTD.,Mirxes Sequencing,Ordered,Ordered,,,9100317971.pdf,yes,1,9100317971_quote_Richard She Quotation 20001170.pdf
9100318044,PR750360,EP542795,INTEGRATED DNA TECHNOLOGIES,Hairpin 3,Ordered,Ordered,,,9100318044.pdf,yes,0,
9100318045,PR750362,EP542796,BIOMEDIX SINGAPORE PTE LTD,G418,Ordered,Ordered,,,9100318045.pdf,yes,0,
9100318071,PR750364,EP542826,SIMPLY SCIENCE,E.Z.N.A Plasmid DNA Mini Kit I  200 preps,Received,Received,,,9100318071.pdf,yes,1,9100318071_quote_Quote SSQ26-5090.pdf
9100318430,PR747594,EP543303,GAIA SCIENCE PTE LTD,Gaia Science tissue culture hood tubing system,Received,Received,,,9100318430.pdf,yes,1,9100318430_quote_NTU10055134 REV1_To Provide Site Visit_Assessment for BSC Tube Connector.pdf
9100318959,PR749913,EP543987,Life Technologies Holdings Pte Ltd,lipofectamine stem,Received,Received,,,9100318959.pdf,yes,0,
9100319113,PR752015,EP544244,NEW ENGLAND BIOLABS PTE LTD,NEBuilder,Received,Received,,,9100319113.pdf,yes,1,9100319113_quote_SQ-50022202.pdf
9100319343,PR752325,EP544537,KYBERLIFE PTE LTD,Wall Mounted Pipettor Hanger,Ordered,Ordered,,,9100319343.pdf,yes,1,9100319343_quote_wall_mount_pipette_quote.pdf
9100319346,PR751713,EP544540,KYBERLIFE PTE LTD,Anti-Girk2 Antibody,Ordered,Ordered,,,9100319346.pdf,yes,1,9100319346_quote_GIRK2_quote.pdf
9100319936,PR753296,EP545308,TTM SCIENTIFIC SUPPLY PTE LTD,Taobao order,Ordered,Shipped,,,9100319936.pdf,yes,1,9100319936_quote_TTM Quotation-20260903-Lab Consumable-NTU -.pdf
9100320097,PR752108,EP545547,Plasmidsaurus Inc.,dinocoin,Ordered,Ordered,,,9100320097.pdf,yes,1,9100320097_quote_Plasmidsaurus_Quote_26U05-053113.pdf
9100320185,PR753763,EP545706,"Wuxi NEST Biotechnology Co., Ltd.",NEST lab consumables,Ordered,Ordered,,,9100320185.pdf,yes,1,9100320185_quote_PI-202609SG07001.pdf
9100320202,PR753773,EP545727,AXIL SCIENTIFIC PTE LTD,Chiron,Ordered,Ordered,,,9100320202.pdf,yes,1,9100320202_quote_Quote-ZY185695.pdf
9100320481,PR754249,EP546091,Life Technologies Holdings Pte Ltd,TypLE,Ordered,Ordered,,,9100320481.pdf,yes,0,
9100320895,PR753775,EP546636,Life Technologies Holdings Pte Ltd,FGF8b,Ordered,Ordered,,,9100320895.pdf,yes,0,
9100320943,PR755070,EP546698,INTEGRATED DNA TECHNOLOGIES,IDT_Primers,Ordered,Ordered,,,9100320943.pdf,yes,0,
9100320990,PR755114,EP546760,NEW ENGLAND BIOLABS PTE LTD,Circularization of linear DNA + strand removal for a ss linear circula,Ordered,Ordered,,,9100320990.pdf,yes,1,9100320990_quote_NEB T7 exonuclease - Nb.Btsl - Nb.BsrDI.pdf
9100321080,PR755235,EP546876,Life Technologies Holdings Pte Ltd,accutase,Ordered,Ordered,,,9100321080.pdf,yes,0,
